External Library Name, Link to License, License Name, Binaries using the license.
Qt 5, https://doc.qt.io/qt-5/licensing.html, LGPL-3.0-only, lib64/qt/translations/qtwebengine_locales/cs.pak lib64/qt/translations/qtwebengine_locales/vi.pak lib64/qt/libexec/qtwebengine_locales/fa.pak lib64/qt/libexec/qtwebengine_locales/sk.pak lib64/qt/libexec/qtwebengine_locales/ko.pak lib64/qt/libexec/qtwebengine_locales/sr.pak lib64/qt/plugins/imageformats/libqjpegAndroidEmu.dylib lib64/qt/libexec/qtwebengine_locales/tr.pak lib64/qt/libexec/qtwebengine_locales/mr.pak lib64/qt/libexec/qtwebengine_locales/te.pak lib64/qt/translations/qtwebengine_locales/bg.pak lib64/qt/libexec/qtwebengine_locales/fil.pak lib64/qt/translations/qtwebengine_locales/ja.pak lib64/qt/libexec/qtwebengine_locales/it.pak lib64/qt/plugins/iconengines/libqsvgiconAndroidEmu.dylib lib64/qt/libexec/qtwebengine_locales/pt-BR.pak lib64/qt/libexec/qtwebengine_resources_200p.pak lib64/qt/libexec/qtwebengine_locales/ar.pak lib64/qt/libexec/qtwebengine_locales/ml.pak lib64/qt/libexec/icudtl.dat lib64/qt/translations/qtwebengine_locales/de.pak lib64/qt/libexec/qtwebengine_locales/fi.pak lib64/qt/libexec/qtwebengine_locales/bg.pak lib64/qt/translations/qtwebengine_locales/ru.pak lib64/qt/translations/qtwebengine_locales/el.pak lib64/qt/translations/qtwebengine_locales/fil.pak lib64/qt/plugins/imageformats/libqtiffAndroidEmu.dylib lib64/qt/translations/qtwebengine_locales/uk.pak lib64/qt/plugins/styles/libqmacstyleAndroidEmu.dylib lib64/qt/libexec/qtwebengine_locales/ru.pak lib64/qt/libexec/qtwebengine_locales/el.pak lib64/qt/libexec/qtwebengine_locales/hr.pak lib64/qt/translations/qtwebengine_locales/zh-CN.pak lib64/qt/resources/qtwebengine_resources_200p.pak lib64/qt/plugins/imageformats/libqmacheifAndroidEmu.dylib lib64/qt/plugins/imageformats/libqwebpAndroidEmu.dylib lib64/qt/lib/libQt6WebChannelAndroidEmu.6.2.1.dylib lib64/qt/lib/libQt6WebEngineCoreAndroidEmu.6.2.1.dylib lib64/qt/translations/qtwebengine_locales/kn.pak lib64/qt/libexec/qtwebengine_devtools_resources.pak lib64/qt/libexec/qtwebengine_locales/pl.pak lib64/qt/translations/qtwebengine_locales/hi.pak lib64/qt/translations/qtwebengine_locales/th.pak lib64/qt/lib/libQt6PrintSupportAndroidEmu.6.2.1.dylib lib64/qt/plugins/platforms/libqcocoaAndroidEmu.dylib lib64/qt/libexec/qtwebengine_locales/gu.pak lib64/qt/translations/qtwebengine_locales/tr.pak lib64/qt/translations/qtwebengine_locales/sl.pak lib64/qt/resources/qtwebengine_resources.pak lib64/qt/libexec/qtwebengine_locales/th.pak lib64/qt/libexec/qtwebengine_locales/cs.pak lib64/qt/translations/qtwebengine_locales/hu.pak lib64/qt/translations/qtwebengine_locales/ro.pak lib64/qt/translations/qtwebengine_locales/sk.pak lib64/qt/libexec/qtwebengine_locales/nl.pak lib64/qt/translations/qtwebengine_locales/en-GB.pak lib64/qt/libexec/qtwebengine_locales/lv.pak lib64/qt/libexec/qtwebengine_resources_100p.pak lib64/qt/plugins/imageformats/libqwbmpAndroidEmu.dylib lib64/qt/lib/libQt6NetworkAndroidEmu.6.2.1.dylib lib64/qt/lib/libQt6SvgAndroidEmu.6.2.1.dylib lib64/qt/translations/qtwebengine_locales/bn.pak lib64/qt/translations/qtwebengine_locales/pt-PT.pak lib64/qt/libexec/qtwebengine_locales/pt-PT.pak lib64/qt/plugins/imageformats/libqmacjp2AndroidEmu.dylib lib64/qt/lib/libQt6PositioningAndroidEmu.6.2.1.dylib lib64/qt/translations/qtwebengine_locales/mr.pak lib64/qt/libexec/qtwebengine_locales/zh-TW.pak lib64/qt/libexec/qtwebengine_locales/lt.pak lib64/qt/translations/qtwebengine_locales/lt.pak lib64/qt/libexec/qtwebengine_locales/ca.pak lib64/qt/resources/qtwebengine_devtools_resources.pak lib64/qt/translations/qtwebengine_locales/fa.pak lib64/qt/translations/qtwebengine_locales/sw.pak lib64/qt/lib/libQt6GuiAndroidEmu.6.2.1.dylib lib64/qt/translations/qtwebengine_locales/ko.pak lib64/qt/libexec/qtwebengine_locales/hu.pak lib64/qt/lib/libQt6QuickWidgetsAndroidEmu.6.2.1.dylib lib64/qt/translations/qtwebengine_locales/pt-BR.pak lib64/qt/libexec/qtwebengine_resources.pak lib64/qt/lib/libQt6QmlAndroidEmu.6.2.1.dylib lib64/qt/plugins/imageformats/libqicoAndroidEmu.dylib lib64/qt/translations/qtwebengine_locales/lv.pak lib64/qt/translations/qtwebengine_locales/sv.pak lib64/qt/translations/qtwebengine_locales/ta.pak lib64/qt/libexec/qtwebengine_locales/id.pak lib64/qt/libexec/qtwebengine_locales/ro.pak lib64/qt/libexec/qtwebengine_locales/ta.pak lib64/qt/plugins/imageformats/libqsvgAndroidEmu.dylib ./emulator lib64/qt/libexec/qtwebengine_locales/am.pak lib64/qt/libexec/qtwebengine_locales/es-419.pak lib64/qt/libexec/qtwebengine_locales/he.pak lib64/qt/libexec/qtwebengine_locales/de.pak lib64/qt/libexec/qtwebengine_locales/uk.pak lib64/qt/libexec/qtwebengine_locales/zh-CN.pak lib64/qt/lib/libQt6WebEngineWidgetsAndroidEmu.6.2.1.dylib lib64/qt/libexec/QtWebEngineProcess lib64/qt/translations/qtwebengine_locales/gu.pak lib64/qt/lib/libQt6WebSocketsAndroidEmu.6.2.1.dylib lib64/qt/translations/qtwebengine_locales/fr.pak lib64/qt/resources/icudtl.dat lib64/qt/lib/libQt6WidgetsAndroidEmu.6.2.1.dylib lib64/qt/translations/qtwebengine_locales/zh-TW.pak lib64/qt/libexec/qtwebengine_locales/sv.pak lib64/qt/libexec/qtwebengine_locales/nb.pak lib64/qt/translations/qtwebengine_locales/en-US.pak lib64/qt/translations/qtwebengine_locales/ms.pak lib64/qt/libexec/qtwebengine_locales/bn.pak lib64/qt/translations/qtwebengine_locales/am.pak lib64/qt/translations/qtwebengine_locales/fi.pak lib64/qt/translations/qtwebengine_locales/it.pak lib64/qt/libexec/qtwebengine_locales/es.pak lib64/qt/lib/libQt6DBusAndroidEmu.6.2.1.dylib lib64/qt/libexec/qtwebengine_locales/hi.pak lib64/qt/lib/libQt6SvgWidgetsAndroidEmu.6.2.1.dylib lib64/qt/translations/qtwebengine_locales/da.pak lib64/qt/lib/libQt6CoreAndroidEmu.6.2.1.dylib lib64/qt/translations/qtwebengine_locales/ar.pak lib64/qt/translations/qtwebengine_locales/te.pak lib64/qt/libexec/qtwebengine_locales/kn.pak lib64/qt/lib/libQt6OpenGLAndroidEmu.6.2.1.dylib lib64/qt/libexec/qtwebengine_locales/vi.pak lib64/qt/translations/qtwebengine_locales/pl.pak lib64/qt/plugins/imageformats/libqtgaAndroidEmu.dylib lib64/qt/translations/qtwebengine_locales/et.pak lib64/qt/translations/qtwebengine_locales/nb.pak lib64/qt/libexec/qtwebengine_locales/da.pak lib64/qt/translations/qtwebengine_locales/es.pak lib64/qt/translations/qtwebengine_locales/nl.pak lib64/qt/translations/qtwebengine_locales/hr.pak lib64/qt/libexec/qtwebengine_locales/ms.pak lib64/qt/resources/qtwebengine_resources_100p.pak lib64/qt/translations/qtwebengine_locales/es-419.pak lib64/qt/translations/qtwebengine_locales/he.pak lib64/qt/lib/libQt6QmlModelsAndroidEmu.6.2.1.dylib lib64/qt/plugins/imageformats/libqicnsAndroidEmu.dylib lib64/qt/libexec/qtwebengine_locales/fr.pak lib64/qt/libexec/qtwebengine_locales/sw.pak lib64/qt/libexec/qtwebengine_locales/sl.pak lib64/qt/libexec/qtwebengine_locales/ja.pak lib64/qt/translations/qtwebengine_locales/sr.pak lib64/qt/plugins/imageformats/libqgifAndroidEmu.dylib lib64/qt/libexec/qtwebengine_locales/en-GB.pak lib64/qt/translations/qtwebengine_locales/ml.pak lib64/qt/translations/qtwebengine_locales/id.pak lib64/qt/lib/libQt6QuickAndroidEmu.6.2.1.dylib lib64/qt/libexec/qtwebengine_locales/en-US.pak lib64/qt/libexec/qtwebengine_locales/et.pak lib64/qt/translations/qtwebengine_locales/ca.pak, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
Qt WebEngineWidgets, https://doc.qt.io/qt-5.12/qtWebEngineWidgets-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
libjpeg, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/NOTICE, IJG, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/jpeg-6b/
libpng, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev/LICENSE, libpng, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/libpng/+/refs/heads/emu-master-dev
vulkan-sdk, https://vulkan.lunarg.com/software/license/vulkan-1.2.162.1-linux-license-summary.txt, Apache-2.0, lib64/vulkan/libvulkan.dylib ./emulator lib64/vulkan/libvk_swiftshader.dylib lib64/vulkan/libMoltenVK.dylib, https://vulkan.lunarg.com/sdk/home
breakpad, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev/LICENSE, BSD-3-Clause, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/google-breakpad/+/refs/heads/emu-master-dev
Qt Network, https://doc.qt.io/qt-5.12/qtNetwork-index.html#licenses-and-attributions, LGPL-3.0-only, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/qt-everywhere-src-5.12.1.tar.xz
fdt, https://android.googlesource.com/platform/external/dtc/+/refs/heads/master/README.license, BSD-2-Clause, ./qemu/darwin-aarch64/qemu-system-aarch64 ./qemu/darwin-aarch64/qemu-system-aarch64-headless ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/dtc/+/refs/heads/master
None, Apache-2.0, Apache-2.0, ./nimble_bridge android-emu-agents.dylib ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./mksdcard ./emulator android-emu-curl.dylib android-emu-metrics.dylib ./qsn ./qemu-img ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, 
jsoncpp, https://android.googlesource.com/platform/external/jsoncpp/+/refs/heads/master/LICENSE, MIT, ./qemu/darwin-aarch64/qemu-system-aarch64 ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless ./qemu/darwin-aarch64/qemu-system-armel-headless ./qsn ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/jsoncpp/+/refs/heads/master
